pipeline_id,split,perturbation,perturbation_family,perturbation_level,case_count,auto_pass_rate,mean_monotonic_fraction,mean_violation_count,mean_spearman_rho,mean_expected_span,mean_max_unmasked_delta,mean_mask_area_fraction,s_order,s_qa,e_crit,fragility_balanced,contact_sheet,mean_guard_l1_to_proxy
P2_diffusion_exp06_rerun,test,mask_dilate_high,mask_dilate,high,4,0.0,0.375,2.5,-0.24999999999999997,2.318905383348465,0.03557201296291582,0.5460461378097534,0.375,0.4,1.0,0.69,,0.15974293294566932
P2_diffusion_exp06_rerun,test,mask_shift_pos_high,mask_shift,high,4,0.0,0.5,2.0,0.375,2.810444861650467,0.029452096587986563,0.5159199237823486,0.55625,0.4,1.0,0.6174999999999999,/home/tmushuru/datasets/alopecia_public/metadata/exp09_diffusion_perturbation_rerun_v1/test_P2_diffusion_exp06_rerun_mask_shift_pos_high_contact_sheet.png,0.16057964618484027
P2_diffusion_exp06_rerun,test,mask_shift_neg_high,mask_shift,high,4,0.0,0.5,2.0,0.02499999999999999,2.429741233587265,0.028863886826098598,0.5164870619773865,0.50375,0.4,1.0,0.6385000000000001,,0.1414337567049835
P2_diffusion_exp06_rerun,test,target_noise_high,target_noise,high,4,0.0,0.375,2.5,-0.375,1.6487809419631958,0.030956730035528252,0.5163443684577942,0.35624999999999996,0.4,1.0,0.6975,,0.1886348622271166
P2_diffusion_exp06_rerun,test,brightness_up_high,brightness,high,4,0.0,0.5625,1.75,0.5,2.3879079818725586,0.029001906103286228,0.5163443684577942,0.61875,0.4,1.0,0.5925,/home/tmushuru/datasets/alopecia_public/metadata/exp09_diffusion_perturbation_rerun_v1/test_P2_diffusion_exp06_rerun_brightness_up_high_contact_sheet.png,0.16586872076657921
P2_diffusion_exp06_rerun,test,brightness_down_high,brightness,high,4,0.0,0.4375,2.25,-0.24999999999999997,2.6471863389015198,0.030414429259150853,0.5163443684577942,0.41875,0.4,1.0,0.6725000000000001,,0.1616262452207961
P2_diffusion_exp06_rerun,test,contrast_up_high,contrast,high,4,0.0,0.5625,1.75,0.39999999999999997,2.9209960401058197,0.032034543882606896,0.5163443684577942,0.60375,0.4,1.0,0.5985,,0.14984826428075476
P2_diffusion_exp06_rerun,test,contrast_down_high,contrast,high,4,0.0,0.5,2.0,0.024999999999999994,2.7721546292304993,0.025555378743575854,0.5163443684577942,0.5037499999999999,0.4,1.0,0.6385000000000001,,0.16894961453663374
P2_diffusion_exp06_rerun,test,image_noise_high,image_noise,high,4,0.0,0.5625,1.75,0.22499999999999995,3.402804434299469,0.027863779559861565,0.5163443684577942,0.5775,0.4,1.0,0.609,,0.1445128600188718
P2_diffusion_exp06_rerun,test,parameter_noise_high,parameter_noise,high,4,0.0,0.4375,2.25,-0.07499999999999998,2.590251475572586,0.029654435368663717,0.5163443684577942,0.445,0.4,1.0,0.6619999999999999,/home/tmushuru/datasets/alopecia_public/metadata/exp09_diffusion_perturbation_rerun_v1/test_P2_diffusion_exp06_rerun_parameter_noise_high_contact_sheet.png,0.1542368586016158
